日付,商品名,地域,売上(円)
2023-08-08,スタンダードプラン,大阪,19600
2023-08-08,保守サポート,東京,30000
2023-08-08,ライトプラン,東京,9960
2023-08-09,保守サポート,名古屋,15000
2023-08-09,スタンダードプラン,札幌,9800
2023-08-09,ライトプラン,名古屋,4980
2023-08-09,オプション追加,名古屋,3000
2023-08-09,保守サポート,名古屋,15000
2023-08-09,プレミアムプラン,東京,29800
2023-08-09,オプション追加,福岡,3000
2023-08-09,保守サポート,福岡,30000
2023-08-09,保守サポート,福岡,30000
2023-08-09,スタンダードプラン,大阪,19600
2023-08-09,スタンダードプラン,大阪,9800
2023-08-10,プレミアムプラン,札幌,29800
2023-08-10,スタンダードプラン,福岡,9800
2023-08-10,保守サポート,福岡,15000
2023-08-10,スタンダードプラン,福岡,9800
2023-08-10,ライトプラン,大阪,4980
2023-08-10,オプション追加,東京,3000
2023-08-11,プレミアムプラン,大阪,29800
2023-08-11,スタンダードプラン,福岡,19600
2023-08-11,スタンダードプラン,福岡,9800
2023-08-11,ライトプラン,札幌,4980
2023-08-11,オプション追加,名古屋,3000
2023-08-11,プレミアムプラン,名古屋,29800
2023-08-12,ライトプラン,大阪,4980
2023-08-12,プレミアムプラン,札幌,29800
2023-08-12,スタンダードプラン,福岡,9800
2023-08-12,プレミアムプラン,札幌,29800
2023-08-12,ライトプラン,福岡,4980
2023-08-12,オプション追加,東京,3000
2023-08-12,ライトプラン,福岡,4980
2023-08-13,オプション追加,名古屋,3000
2023-08-13,プレミアムプラン,大阪,29800
2023-08-13,ライトプラン,東京,4980
2023-08-13,ライトプラン,福岡,4980
2023-08-13,ライトプラン,東京,4980
2023-08-13,初期構築パック,大阪,50000
2023-08-13,スタンダードプラン,大阪,9800
2023-08-13,スタンダードプラン,東京,9800
2023-08-13,ライトプラン,東京,4980
2023-08-14,ライトプラン,東京,4980
2023-08-14,スタンダードプラン,札幌,19600
2023-08-14,ライトプラン,東京,9960
2023-08-14,保守サポート,札幌,15000
2023-08-14,スタンダードプラン,福岡,9800
2023-08-14,保守サポート,名古屋,30000
2023-08-14,保守サポート,東京,30000
2023-08-14,プレミアムプラン,福岡,29800
2023-08-15,ライトプラン,大阪,4980
2023-08-15,ライトプラン,大阪,9960
2023-08-15,オプション追加,大阪,6000
2023-08-15,ライトプラン,福岡,4980
2023-08-15,ライトプラン,福岡,4980
2023-08-15,保守サポート,東京,15000
2023-08-16,保守サポート,東京,30000
2023-08-16,ライトプラン,札幌,4980
2023-08-16,スタンダードプラン,名古屋,9800
2023-08-16,スタンダードプラン,東京,9800
2023-08-16,スタンダードプラン,大阪,19600
2023-08-16,プレミアムプラン,福岡,29800
2023-08-16,プレミアムプラン,東京,59600
2023-08-16,オプション追加,大阪,3000
2023-08-16,ライトプラン,福岡,4980
2023-08-17,スタンダードプラン,東京,9800
2023-08-17,ライトプラン,福岡,4980
2023-08-17,ライトプラン,大阪,4980
2023-08-17,オプション追加,東京,3000
2023-08-17,オプション追加,名古屋,3000
2023-08-17,スタンダードプラン,札幌,19600
2023-08-17,オプション追加,福岡,3000
2023-08-17,プレミアムプラン,福岡,29800
2023-08-18,ライトプラン,東京,4980
2023-08-18,スタンダードプラン,福岡,19600
2023-08-18,プレミアムプラン,大阪,59600
2023-08-18,保守サポート,東京,30000
2023-08-18,スタンダードプラン,福岡,9800
2023-08-18,ライトプラン,札幌,9960
2023-08-19,ライトプラン,東京,4980
2023-08-19,初期構築パック,名古屋,50000
2023-08-19,保守サポート,東京,15000
2023-08-19,保守サポート,大阪,30000
2023-08-19,スタンダードプラン,札幌,9800
2023-08-19,保守サポート,大阪,15000
2023-08-19,スタンダードプラン,名古屋,19600
2023-08-19,オプション追加,大阪,3000
2023-08-19,スタンダードプラン,札幌,9800
2023-08-20,オプション追加,福岡,3000
2023-08-20,スタンダードプラン,大阪,19600
2023-08-20,ライトプラン,名古屋,4980
2023-08-20,ライトプラン,大阪,4980
2023-08-20,ライトプラン,名古屋,4980
2023-08-20,オプション追加,名古屋,3000
2023-08-20,スタンダードプラン,名古屋,9800
2023-08-20,オプション追加,札幌,6000
2023-08-21,ライトプラン,名古屋,4980
2023-08-21,オプション追加,名古屋,6000
2023-08-21,プレミアムプラン,札幌,29800
2023-08-21,スタンダードプラン,東京,9800
2023-08-21,ライトプラン,札幌,4980
2023-08-21,保守サポート,名古屋,15000
2023-08-22,初期構築パック,東京,50000
2023-08-22,保守サポート,大阪,15000
2023-08-22,プレミアムプラン,福岡,59600
2023-08-22,ライトプラン,大阪,4980
2023-08-22,ライトプラン,東京,4980
2023-08-22,スタンダードプラン,名古屋,9800
2023-08-22,スタンダードプラン,札幌,9800
2023-08-22,プレミアムプラン,札幌,29800
2023-08-23,スタンダードプラン,札幌,9800
2023-08-23,オプション追加,大阪,3000
2023-08-23,スタンダードプラン,大阪,9800
2023-08-23,ライトプラン,大阪,4980
2023-08-23,オプション追加,福岡,3000
2023-08-23,保守サポート,東京,15000
2023-08-24,ライトプラン,札幌,9960
2023-08-24,オプション追加,大阪,6000
2023-08-24,スタンダードプラン,東京,9800
2023-08-24,スタンダードプラン,福岡,9800
2023-08-24,スタンダードプラン,東京,9800
2023-08-24,オプション追加,東京,3000
2023-08-25,ライトプラン,大阪,4980
2023-08-25,ライトプラン,札幌,9960
2023-08-25,スタンダードプラン,東京,9800
2023-08-25,プレミアムプラン,福岡,29800
2023-08-25,保守サポート,福岡,15000
2023-08-25,オプション追加,東京,6000
2023-08-26,プレミアムプラン,名古屋,29800
2023-08-26,プレミアムプラン,東京,29800
2023-08-26,ライトプラン,東京,4980
2023-08-26,プレミアムプラン,札幌,59600
2023-08-26,オプション追加,大阪,3000
2023-08-26,スタンダードプラン,大阪,9800
2023-08-26,プレミアムプラン,大阪,29800
2023-08-27,オプション追加,大阪,3000
2023-08-27,オプション追加,札幌,3000
2023-08-27,プレミアムプラン,福岡,59600
2023-08-27,オプション追加,東京,3000
2023-08-27,ライトプラン,札幌,4980
2023-08-28,ライトプラン,札幌,4980
2023-08-28,オプション追加,東京,3000
2023-08-28,スタンダードプラン,札幌,9800
2023-08-28,オプション追加,大阪,3000
2023-08-28,保守サポート,東京,15000
2023-08-28,スタンダードプラン,東京,9800
2023-08-28,保守サポート,札幌,15000
2023-08-28,保守サポート,札幌,15000
2023-08-28,オプション追加,福岡,3000
2023-08-28,スタンダードプラン,大阪,9800
2023-08-29,スタンダードプラン,東京,9800
2023-08-29,オプション追加,福岡,3000
2023-08-29,スタンダードプラン,大阪,9800
2023-08-29,プレミアムプラン,福岡,29800
2023-08-29,プレミアムプラン,名古屋,29800
2023-08-30,保守サポート,札幌,15000
2023-08-30,ライトプラン,札幌,4980
2023-08-30,保守サポート,東京,30000
2023-08-30,ライトプラン,名古屋,4980
2023-08-30,ライトプラン,札幌,4980
2023-08-30,ライトプラン,札幌,4980
2023-08-30,オプション追加,福岡,3000
2023-08-30,スタンダードプラン,名古屋,9800
2023-08-31,保守サポート,東京,15000
2023-08-31,ライトプラン,福岡,4980
2023-08-31,保守サポート,福岡,15000
2023-08-31,ライトプラン,札幌,4980
2023-08-31,オプション追加,大阪,3000
2023-08-31,オプション追加,福岡,3000
2023-08-31,スタンダードプラン,福岡,9800
2023-09-01,保守サポート,名古屋,15000
2023-09-01,スタンダードプラン,東京,19600
2023-09-01,ライトプラン,名古屋,4980
2023-09-01,スタンダードプラン,福岡,9800
2023-09-01,オプション追加,福岡,3000
2023-09-01,オプション追加,福岡,3000
2023-09-01,スタンダードプラン,名古屋,9800
2023-09-01,ライトプラン,福岡,4980
2023-09-01,初期構築パック,大阪,50000
2023-09-02,ライトプラン,札幌,4980
2023-09-02,プレミアムプラン,福岡,29800
2023-09-02,初期構築パック,札幌,50000
2023-09-02,スタンダードプラン,札幌,9800
2023-09-02,スタンダードプラン,大阪,9800
2023-09-03,ライトプラン,名古屋,4980
2023-09-03,オプション追加,東京,3000
2023-09-03,スタンダードプラン,大阪,9800
2023-09-03,ライトプラン,名古屋,4980
2023-09-03,保守サポート,名古屋,30000
2023-09-03,スタンダードプラン,名古屋,9800
2023-09-03,スタンダードプラン,福岡,19600
2023-09-04,スタンダードプラン,福岡,19600
2023-09-04,保守サポート,福岡,15000
2023-09-04,スタンダードプラン,札幌,9800
2023-09-04,保守サポート,大阪,15000
2023-09-04,オプション追加,札幌,6000
2023-09-05,オプション追加,大阪,3000
2023-09-05,初期構築パック,福岡,100000
2023-09-05,プレミアムプラン,福岡,29800
2023-09-05,プレミアムプラン,大阪,59600
2023-09-05,プレミアムプラン,福岡,59600
2023-09-06,ライトプラン,札幌,9960
2023-09-06,保守サポート,名古屋,15000
2023-09-06,保守サポート,福岡,30000
2023-09-06,オプション追加,東京,3000
2023-09-06,プレミアムプラン,大阪,29800
2023-09-06,保守サポート,札幌,15000
2023-09-07,ライトプラン,福岡,4980
2023-09-07,ライトプラン,札幌,4980
2023-09-07,ライトプラン,大阪,9960
2023-09-07,オプション追加,福岡,3000
2023-09-07,ライトプラン,札幌,4980
2023-09-07,ライトプラン,名古屋,4980
2023-09-08,プレミアムプラン,東京,59600
2023-09-08,スタンダードプラン,福岡,19600
2023-09-08,ライトプラン,札幌,4980
2023-09-08,プレミアムプラン,名古屋,29800
2023-09-08,保守サポート,福岡,15000
2023-09-08,ライトプラン,大阪,4980
2023-09-08,オプション追加,大阪,3000
2023-09-08,ライトプラン,大阪,4980
2023-09-08,ライトプラン,福岡,9960
2023-09-08,オプション追加,福岡,3000
2023-09-08,ライトプラン,名古屋,4980
2023-09-09,オプション追加,福岡,3000
2023-09-09,スタンダードプラン,名古屋,9800
2023-09-09,プレミアムプラン,名古屋,29800
2023-09-09,ライトプラン,札幌,9960
2023-09-09,初期構築パック,大阪,50000
2023-09-09,オプション追加,東京,6000
2023-09-09,スタンダードプラン,大阪,9800
2023-09-10,ライトプラン,札幌,4980
2023-09-10,スタンダードプラン,大阪,9800
2023-09-10,オプション追加,名古屋,3000
2023-09-10,ライトプラン,大阪,4980
2023-09-10,スタンダードプラン,名古屋,19600
2023-09-11,ライトプラン,札幌,4980
2023-09-11,オプション追加,札幌,3000
2023-09-11,保守サポート,大阪,15000
2023-09-11,ライトプラン,札幌,4980
2023-09-11,スタンダードプラン,東京,19600
2023-09-11,ライトプラン,福岡,4980
2023-09-11,プレミアムプラン,福岡,29800
2023-09-11,ライトプラン,福岡,4980
2023-09-12,ライトプラン,福岡,4980
2023-09-12,プレミアムプラン,札幌,29800
2023-09-12,ライトプラン,大阪,4980
2023-09-12,オプション追加,札幌,6000
2023-09-12,ライトプラン,福岡,4980
2023-09-12,ライトプラン,東京,9960
2023-09-12,スタンダードプラン,東京,9800
2023-09-13,保守サポート,東京,15000
2023-09-13,ライトプラン,大阪,9960
2023-09-13,スタンダードプラン,大阪,19600
2023-09-13,ライトプラン,名古屋,4980
2023-09-13,ライトプラン,名古屋,4980
2023-09-13,ライトプラン,名古屋,9960
2023-09-13,ライトプラン,名古屋,4980
2023-09-13,ライトプラン,福岡,9960
2023-09-13,ライトプラン,札幌,4980
2023-09-14,ライトプラン,福岡,4980
2023-09-14,保守サポート,大阪,15000
2023-09-14,プレミアムプラン,大阪,29800
2023-09-14,ライトプラン,東京,4980
2023-09-14,ライトプラン,札幌,9960
2023-09-14,ライトプラン,名古屋,9960
2023-09-14,スタンダードプラン,大阪,9800
2023-09-14,オプション追加,札幌,6000
2023-09-15,ライトプラン,札幌,9960
2023-09-15,スタンダードプラン,大阪,9800
2023-09-15,スタンダードプラン,大阪,19600
2023-09-15,スタンダードプラン,東京,9800
2023-09-15,ライトプラン,東京,4980
2023-09-15,ライトプラン,名古屋,4980
2023-09-15,ライトプラン,名古屋,4980
2023-09-15,スタンダードプラン,名古屋,9800
2023-09-16,スタンダードプラン,福岡,9800
2023-09-16,ライトプラン,東京,4980
2023-09-16,保守サポート,札幌,30000
2023-09-16,保守サポート,福岡,30000
2023-09-16,スタンダードプラン,札幌,19600
2023-09-16,ライトプラン,福岡,4980
2023-09-16,保守サポート,東京,15000
2023-09-17,スタンダードプラン,福岡,9800
2023-09-17,スタンダードプラン,東京,9800
2023-09-17,スタンダードプラン,大阪,9800
2023-09-17,ライトプラン,札幌,4980
2023-09-17,プレミアムプラン,東京,29800
2023-09-17,ライトプラン,東京,4980
2023-09-17,プレミアムプラン,福岡,59600
2023-09-18,保守サポート,東京,15000
2023-09-18,保守サポート,東京,15000
2023-09-18,スタンダードプラン,福岡,9800
2023-09-18,プレミアムプラン,福岡,29800
2023-09-18,ライトプラン,名古屋,4980
2023-09-18,オプション追加,福岡,6000
2023-09-18,保守サポート,東京,15000
2023-09-19,初期構築パック,福岡,100000
2023-09-19,ライトプラン,名古屋,9960
2023-09-19,保守サポート,名古屋,15000
2023-09-19,プレミアムプラン,札幌,29800
2023-09-19,保守サポート,大阪,15000
2023-09-19,ライトプラン,札幌,4980
2023-09-20,ライトプラン,福岡,4980
2023-09-20,ライトプラン,札幌,9960
2023-09-20,保守サポート,福岡,15000
2023-09-20,プレミアムプラン,名古屋,29800
2023-09-20,プレミアムプラン,大阪,59600
2023-09-20,ライトプラン,名古屋,4980
2023-09-20,オプション追加,名古屋,3000
2023-09-20,オプション追加,名古屋,6000
2023-09-20,ライトプラン,福岡,9960
2023-09-20,スタンダードプラン,名古屋,9800
2023-09-21,ライトプラン,名古屋,4980
2023-09-21,ライトプラン,福岡,4980
2023-09-21,ライトプラン,札幌,4980
2023-09-21,保守サポート,大阪,15000
2023-09-21,ライトプラン,札幌,4980
2023-09-21,プレミアムプラン,大阪,29800
2023-09-22,スタンダードプラン,大阪,9800
2023-09-22,保守サポート,名古屋,15000
2023-09-22,ライトプラン,福岡,4980
2023-09-22,保守サポート,大阪,15000
2023-09-22,スタンダードプラン,名古屋,19600
2023-09-22,オプション追加,福岡,3000
2023-09-23,ライトプラン,名古屋,4980
2023-09-23,ライトプラン,東京,4980
2023-09-23,スタンダードプラン,札幌,19600
2023-09-23,ライトプラン,名古屋,4980
2023-09-23,ライトプラン,札幌,9960
2023-09-23,オプション追加,名古屋,3000
2023-09-23,オプション追加,大阪,3000
2023-09-23,オプション追加,東京,6000
2023-09-24,スタンダードプラン,札幌,9800
2023-09-24,ライトプラン,福岡,9960
2023-09-24,オプション追加,札幌,3000
2023-09-24,初期構築パック,東京,50000
2023-09-24,プレミアムプラン,東京,29800
2023-09-24,オプション追加,大阪,6000
2023-09-24,ライトプラン,名古屋,4980
2023-09-25,スタンダードプラン,名古屋,9800
2023-09-25,オプション追加,札幌,3000
2023-09-25,オプション追加,名古屋,3000
2023-09-25,保守サポート,東京,30000
2023-09-25,スタンダードプラン,東京,9800
2023-09-25,オプション追加,札幌,3000
2023-09-25,ライトプラン,福岡,4980
2023-09-25,プレミアムプラン,福岡,29800
2023-09-25,スタンダードプラン,福岡,19600
2023-09-25,スタンダードプラン,大阪,9800
2023-09-25,オプション追加,福岡,3000
2023-09-25,保守サポート,東京,15000
2023-09-25,スタンダードプラン,東京,9800
2023-09-25,オプション追加,大阪,3000
2023-09-26,保守サポート,福岡,15000
2023-09-26,オプション追加,福岡,3000
2023-09-26,オプション追加,大阪,3000
2023-09-26,ライトプラン,大阪,4980
2023-09-26,プレミアムプラン,大阪,29800
2023-09-26,保守サポート,福岡,15000
2023-09-26,オプション追加,福岡,3000
2023-09-27,プレミアムプラン,名古屋,29800
2023-09-27,保守サポート,福岡,15000
2023-09-27,スタンダードプラン,福岡,19600
2023-09-27,スタンダードプラン,大阪,9800
2023-09-27,ライトプラン,東京,4980
2023-09-27,プレミアムプラン,名古屋,29800
2023-09-27,ライトプラン,大阪,4980
2023-09-28,オプション追加,福岡,3000
2023-09-28,プレミアムプラン,東京,29800
2023-09-28,オプション追加,大阪,3000
2023-09-28,オプション追加,福岡,3000
2023-09-28,保守サポート,札幌,15000
2023-09-28,スタンダードプラン,札幌,9800
2023-09-28,プレミアムプラン,福岡,29800
2023-09-28,スタンダードプラン,大阪,19600
2023-09-28,プレミアムプラン,大阪,29800
2023-09-29,プレミアムプラン,大阪,29800
2023-09-29,ライトプラン,札幌,4980
2023-09-29,保守サポート,大阪,15000
2023-09-29,スタンダードプラン,札幌,9800
2023-09-29,プレミアムプラン,東京,29800
2023-09-29,保守サポート,東京,30000
2023-09-29,ライトプラン,名古屋,4980
2023-09-29,プレミアムプラン,東京,59600
2023-09-29,スタンダードプラン,大阪,19600
2023-09-30,オプション追加,大阪,3000
2023-09-30,スタンダードプラン,東京,9800
2023-09-30,スタンダードプラン,札幌,9800
2023-09-30,ライトプラン,名古屋,4980
2023-09-30,ライトプラン,札幌,9960
